Score-ScoreOther,ScoreOther-Score,Number of Records,Score (bin),Emotion,Id Of The Other In The Pair,Id,One Of The Pairs And With Hashtag Flag,One Of The Pairs Flag,Query Hashtag,Score Of The Other,Score,Testflag,Tweet Of The Other In The Pair,Tweet
,,1,0.30,anger,,10690,singleton,0,,,0.322,train,,"-- haired man strides close and watches as the Major flinches away from him, the reaction draws a growl from his throat.  -- (@DocHQuinzel)"
,,1,0.50,anger,,10367,singleton,0,,,0.521,train,,.@LEAFYSZERKER @markiplier is that an insult? Sounds like a job well done. it's red so it's done the job it was suppose to do #justsaying
,,1,0.55,anger,,10304,singleton,0,,,0.593,train,,.@RepDelBene: 'Today's proceedings and the entire process is an insult to our constituents.'
,,1,0.35,anger,,10654,singleton,0,,,0.375,train,,"“Do not fret if you are not cool! Humans who follow me, become instantly cool!” #Bot"
,,1,0.35,anger,,10706,singleton,0,,,0.354,train,,"{Strong hands moving to firmly grope each of @WhimsicallyWild's thighs, squeezing as her digging nails extract a growl from me.}"
,,1,0.25,anger,,10785,singleton,0,,,0.271,train,,@_Inferno217_ @PaladinsGame ummm that dragons fury though..
,,1,0.40,anger,,10521,singleton,0,,,0.438,train,,@1VoiceMatters @MichaelTPremo just got wind of #MenForChoice and it doesn't infuriate me. Just makes me sad for the generation.
,,1,0.45,anger,,10442,singleton,0,,,0.479,train,,"@a_mxe7 hah don't speak to me or my cousin like that, mind a had the displeasure of seeing u bare faced on eh train, no a pretty sight mate"
,,1,0.45,anger,,10476,singleton,0,,,0.458,train,,@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone
,,1,0.50,anger,,10418,singleton,0,,,0.5,train,,@AgentTinsley I believe that's what you call the fury of the righteous.
,,1,0.55,anger,,10239,singleton,0,,,0.583,train,,@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking. #Hillary #divide  #chaos
,,1,0.50,anger,,10347,singleton,0,,,0.521,train,,@Alanafergusson snap meee
,,1,0.55,anger,,10262,singleton,0,,,0.583,train,,@alicehouston18 sorry I'm just angry my drone flew away
,,1,0.55,anger,,10286,singleton,0,,,0.562,train,,"@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows"
,,1,0.50,anger,,10362,singleton,0,,,0.521,train,,@ArcadianLuthier -- taking out his feelings on Kei unfairly. His lips form a frown as he tries to walk away.
,,1,0.85,anger,,10016,singleton,0,,,0.854,train,,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.
,,1,0.50,anger,,10313,singleton,0,,,0.542,train,,"@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims."
,,1,0.50,anger,,10393,singleton,0,,,0.5,train,,@arppaul @chetanlfc @mannkakhiladi @dey_spandan @umeroffcial  Comparing Akshay Sir with this zandu balm is an insult to Akshay Sir.
,,1,0.50,anger,,10416,singleton,0,,,0.5,train,,@ashleighjessica @zacflint1 I'd give that pout the firm D
,,1,0.60,anger,,10218,singleton,0,,,0.604,train,,"@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing."
,,1,0.45,anger,,10472,singleton,0,,,0.479,train,,@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao
,,1,0.40,anger,,10520,singleton,0,,,0.438,train,,@AuntieSupreme @KimberlyCarole y'all found me to express yalls displeasure. 😉
,,1,0.10,anger,,10844,singleton,0,,,0.146,train,,@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol
,,1,0.60,anger,,10208,singleton,0,,,0.625,train,,@Austin4evaLEEDS fuming!
,,1,0.15,anger,,10714,singleton,0,,,0.177,train,,@BarackObama I love Lizzy Warren's latest rage against Wall Street.
,,1,0.45,anger,,10486,singleton,0,,,0.458,train,,@BearGrylls for your next series will u do a celebrity firefighting show and just chuck them all in a burning building and do the voiceover?
,,1,0.45,anger,,10579,singleton,0,,,0.468,train,,"@BIGGKATZ BUT arms (focused rage) is overpowered, it will be getting nerfed. It'll still be stronger than fury though"
,,1,0.40,anger,,10556,singleton,0,,,0.417,train,,@billburr DirectTV is the best. Apparently you just sit in silent anger. 'Don't press or say anything'
,,1,0.40,anger,,10545,singleton,0,,,0.438,train,,@bismahmalik .....Seems like a fight ready to rage on.....
,,1,0.40,anger,,10553,singleton,0,,,0.438,train,,"@BonesARP 'That is a disappointment.'\n\nHe fakes a pout, then starts to chuckle."
,,1,0.50,anger,,10389,singleton,0,,,0.5,train,,"@BosNaud so scared to ruffle feathers, he resorted to writing in cryptic code. #UncleCamsCabin"
,,1,0.75,anger,,10129,singleton,0,,,0.766,train,,"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror"
,,1,0.65,anger,,10126,singleton,0,,,0.688,train,,@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome
,,1,0.75,anger,,10034,singleton,0,,,0.792,train,,@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR
,,1,0.10,anger,,10847,singleton,0,,,0.146,train,,@Callidissima @ahouseingotham wrath of khan is one of the best movies of all time
,,1,0.55,anger,,10263,singleton,0,,,0.583,train,,@carefreeash_ id be fuming
